danceability,energy,key note,loudness (dB),speechiness,acousticness,instrumentalness,liveness,valence,tempo (BPM),duration (s)
62.4,88.9,5,-3.772,5.04,10.1,0,22.7,45,127.019,234
72.2,33.1,8,-7.789,7.25,33.7,28.3,14.6,10.2,143.974,314
70.7,92.4,7,-2.842,3.1,0.0972,0.703,20.4,91.9,127.937,206
70.6,71.3,0,-5.512,3.01,5.96,0,13.2,54.4,102.037,257
72.8,97.4,4,-2.261,6.65,10.3,0.0532,17.5,96.5,79.526,235
50.5,68,7,-4.99,7.13,7.96,0,4.65,53.9,168.021,236
48.5,73.5,1,-5.929,3.34,1,0.794,21.3,45.6,131.234,277
42.9,66.1,11,-7.227,2.81,0.239,0.013,23.4,28.5,173.365,267
67.5,86.6,1,-6.454,3.9,0.181,74.6,41.5,3.79,128.007,304
67.5,88.5,1,-4.432,4.36,21.7,0,8.6,76.8,97.03,217
59.3,26.3,4,-14.029,5.67,84.4,0.000536,12.7,10.9,76.379,239
61.7,77.8,9,-8.871,2.7,45.9,92.5,12.8,15.2,100.363,128
75,46.2,0,-7.664,7.79,0.576,54.5,30.7,30.9,123.865,232
54.2,58.9,2,-6.623,3.18,29.2,0.0522,17.7,13.7,111.665,303
59.2,76.7,9,-2.788,2.7,0.21,0.165,12.7,32.8,96.483,330
55.9,34.5,4,-13.496,4.59,5.76,0.0105,14.1,45.8,84.581,264
